Name,Licenses,Version,Repos
libuuid1:amd64,BSD-2-clause|BSD-3-clause|BSD-4-clause|GPL-2|GPL-2+|GPL-3+|LGPL|LGPL-2+|LGPL-2.1+|LGPL-3+|MIT|public-domain,2.31.1-0.4ubuntu3.5,NULL
libuv1:amd64,BSD-1-clause|BSD-2-clause|BSD-3-clause|Expat|ISC,1.18.0-3,NULL
libvorbis0a:amd64,unknown,1.3.5-4.2,NULL
libvorbisenc2:amd64,unknown,1.3.5-4.2,NULL
libvterm0:amd64,MIT|permissive,0~bzr715-1,NULL
libwayland-client0:amd64,X11,1.16.0-1ubuntu1.1~18.04.3,NULL
libwayland-cursor0:amd64,X11,1.16.0-1ubuntu1.1~18.04.3,NULL
libwayland-egl1:amd64,X11,1.16.0-1ubuntu1.1~18.04.3,NULL
libwhisker2-perl,GPL,2.5-1,bionic|now
libwind0-heimdal:amd64,BSD-3-clause|GPL-2+|custom|none,7.5.0+dfsg-1,NULL
libwrap0:amd64,unknown,7.6.q-27,NULL
libx11-6:amd64,MIT|license,2:1.6.4-3ubuntu0.2,NULL
libx11-data,MIT|license,2:1.6.4-3ubuntu0.2,bionic-updates|now
libx11-xcb1:amd64,MIT|license,2:1.6.4-3ubuntu0.2,NULL
libxau6:amd64,unknown,1:1.0.8-1,NULL
libxaw7:amd64,unknown,2:1.0.13-1,NULL
libxcb-dri2-0:amd64,unknown,1.13-2~ubuntu18.04,NULL
libxcb-dri3-0:amd64,unknown,1.13-2~ubuntu18.04,NULL
libxcb-glx0:amd64,unknown,1.13-2~ubuntu18.04,NULL
libxcb-present0:amd64,unknown,1.13-2~ubuntu18.04,NULL
libxcb-render0:amd64,unknown,1.13-2~ubuntu18.04,NULL
libxcb-shape0:amd64,unknown,1.13-2~ubuntu18.04,NULL
libxcb-shm0:amd64,unknown,1.13-2~ubuntu18.04,NULL
libxcb-sync1:amd64,unknown,1.13-2~ubuntu18.04,NULL
libxcb1:amd64,unknown,1.13-2~ubuntu18.04,NULL
libxcomposite1:amd64,unknown,1:0.4.4-2,NULL
libxcursor1:amd64,unknown,1:1.1.15-1,NULL
libxdamage1:amd64,unknown,1:1.1.4-3,NULL
libxdmcp6:amd64,unknown,1:1.1.2-3,NULL
libxext6:amd64,unknown,2:1.3.3-1,NULL
libxfixes3:amd64,unknown,1:5.0.3-1,NULL
libxft2:amd64,unknown,2.3.2-1,NULL
libxi6:amd64,unknown,2:1.7.9-1,NULL
libxinerama1:amd64,unknown,2:1.1.3-1,NULL
libxkbcommon0:amd64,unknown,0.8.2-1~ubuntu18.04.1,NULL
libxml2:amd64,ISC|MIT-1,2.9.4+dfsg1-6.1ubuntu1.3,NULL
libxmlsec1:amd64,unknown,1.2.25-1build1,NULL
libxmlsec1-openssl:amd64,unknown,1.2.25-1build1,NULL
libxmu6:amd64,unknown,2:1.1.2-2,NULL
libxmuu1:amd64,unknown,2:1.1.2-2,NULL
libxpm4:amd64,unknown,1:3.5.12-1,NULL
libxrandr2:amd64,unknown,2:1.5.1-1,NULL
libxrender1:amd64,unknown,1:0.9.10-1,NULL
libxshmfence1:amd64,unknown,1.3-1,NULL
libxslt1.1:amd64,unknown,1.1.29-5ubuntu0.2,NULL
libxt6:amd64,unknown,1:1.1.5-1,NULL
libxtables12:amd64,Artistic-2|GPL-2|GPL-2+|custom,1.6.1-2ubuntu2,NULL
libxtst6:amd64,unknown,2:1.2.3-1,NULL
libxv1:amd64,
,2:1.0.11-1,NULL
libxxf86dga1:amd64,unknown,2:1.1.4-1,NULL
libxxf86vm1:amd64,unknown,1:1.1.4-1,NULL
libyaml-0-2:amd64,Expat|permissive,0.1.7-2ubuntu3,NULL
libzstd1:amd64,BSD-3-clause-with-patent-grant|Expat|GPL-2|GPL-2+|zlib,1.3.3+dfsg-2ubuntu1.1,NULL
links,GPL-2+|with|OpenSSL|exception|MPL-2.0,2.14-5build1,bionic|now
linux-base,GPL-2,4.5ubuntu1,bionic|now
locales,GPL-2|LGPL-2.1,2.27-3ubuntu1,bionic|now
login,GPL-2,1:4.5-1ubuntu2,bionic-updates|now
logrotate,GPL-2,3.11.0-0.1ubuntu1,bionic|now
lsb-base,BSD-3-clause|GPL-2,9.20170808ubuntu1,bionic|now
lsb-release,BSD-3-clause|GPL-2,9.20170808ubuntu1,bionic|now
lshw,GPL,02.18-0.1ubuntu6.18.04.1,bionic-updates|now
lsof,BSD-4-clause|GPL-2+|LGPL-2+|Purdue|sendmail,4.89+dfsg-0.1,bionic|now
ltrace,GPL,0.7.3-6ubuntu1,bionic|now
lvm2,GPL-2|LGPL-2.1,2.02.176-4.1ubuntu3.18.04.2,bionic-updates|now
lxcfs,Apache-2,3.0.3-0ubuntu1~18.04.1,bionic-updates|now
lxd,Apache-2|BSD-2-clause|BSD-3-clause|Expat|LGPL-2.1|with|static|linking|exception|LGPL-3|with|static|linking|exception,3.0.3-0ubuntu1~18.04.1,bionic-updates|now
lxd-client,Apache-2|BSD-2-clause|BSD-3-clause|Expat|LGPL-2.1|with|static|linking|exception|LGPL-3|with|static|linking|exception,3.0.3-0ubuntu1~18.04.1,bionic-updates|now
man-db,GPL-2+|GPL-3+,2.8.3-2ubuntu0.1,bionic-updates|now
manpages,BSD-3-clause|BSD-4-clause|Expat|GPL-2|GPL-2+|LDPv1|freely-redistributable|henry-spencer-regex|public-domain|verbatim,4.15-1,bionic|now
mawk,GPL-2,1.3.3-17ubuntu3,bionic|now
mdadm,GPL-2,4.1~rc1-3~ubuntu18.04.4,bionic-updates|now
mime-support,Bellcore|ad-hoc,3.60ubuntu1,bionic|now
mlocate,GPL-2,0.26-2ubuntu3.1,bionic|now
mount,BSD-2-clause|BSD-3-clause|BSD-4-clause|GPL-2|GPL-2+|GPL-3+|LGPL|LGPL-2+|LGPL-2.1+|LGPL-3+|MIT|public-domain,2.31.1-0.4ubuntu3.5,bionic-updates|now
mtr-tiny,GPL-2+,0.92-1,bionic|now
multiarch-support,GPL-2|LGPL-2.1,2.27-3ubuntu1,bionic|now
nano,GFDL-NIV+|GFDL-NIV+|or|GPL-3+|GPL-3+,2.9.3-2,bionic|now
ncurses-base,unknown,6.1-1ubuntu1.18.04,bionic-updates|now
ncurses-bin,unknown,6.1-1ubuntu1.18.04,bionic-updates|now
ncurses-term,unknown,6.1-1ubuntu1.18.04,bionic-updates|now
neovim,Apache|BSD-2-clause|Expat|GPL-2|ISC|Kitware|Unicode|Vim|Vim-Regexp|clint,0.2.2-3,bionic|now
neovim-runtime,Apache|BSD-2-clause|Expat|GPL-2|ISC|Kitware|Unicode|Vim|Vim-Regexp|clint,0.2.2-3,bionic|now
net-tools,GPL-2,1.60+git20161116.90da8a0-1ubuntu1,bionic|now
netbase,GPL-2,5.4,bionic|now
netcat-openbsd,BSD-2-Clause|BSD-3-Clause,1.187-1ubuntu0.1,bionic-updates|now
netplan.io,GPL-3,0.98-0ubuntu1~18.04.1,bionic-updates|now
networkd-dispatcher,GPL-3+,1.7-0ubuntu3.3,bionic-updates|now
nikto,GPL,1:2.1.5-2,bionic|now
nplan,GPL-3,0.98-0ubuntu1~18.04.1,bionic-updates|now
ntfs-3g,GPL-2+|LGPL-2+,1:2017.3.23-2ubuntu0.18.04.2,bionic-updates|bionic-security|now
open-iscsi,BSD-3-clause-1|BSD-3-clause-2|BSD-4-clause|GPL-2|GPL-2+|GPL-2+|with|Bison|exception|Patches-GPL-2+-or-BSD-4-clause|public-domain,2.0.874-5ubuntu2.7,bionic-updates|now
open-vm-tools,BSD-3|GPL-2|GPL-2+|LGPL-2.1|MIT(*)|MIT(**),2:11.0.1-2ubuntu0.18.04.2,bionic-updates|now
openssh-client,BSD-2-clause|BSD-3-clause|Beer-ware|Expat-with-advertising-restriction|Mazieres-BSD-style|OpenSSH|Powell-BSD-style|public-domain,1:7.6p1-4ubuntu0.3,bionic-updates|bionic-security|now
openssh-server,BSD-2-clause|BSD-3-clause|Beer-ware|Expat-with-advertising-restriction|Mazieres-BSD-style|OpenSSH|Powell-BSD-style|public-domain,1:7.6p1-4ubuntu0.3,bionic-updates|bionic-security|now
openssh-sftp-server,BSD-2-clause|BSD-3-clause|Beer-ware|Expat-with-advertising-restriction|Mazieres-BSD-style|OpenSSH|Powell-BSD-style|public-domain,1:7.6p1-4ubuntu0.3,bionic-updates|bionic-security|now
openssl,BSD-style,1.1.1-1ubuntu2.1~18.04.5,bionic-updates|bionic-security|now
overlayroot,GPL-3.0+,0.40ubuntu1.1,bionic-updates|now
parted,GPL-3,3.2-20ubuntu0.2,bionic-updates|now
passwd,GPL-2,1:4.5-1ubuntu2,bionic-updates|now
pastebinit,GPL-2,1.5-2,bionic|now
patch,GPL,2.7.6-2ubuntu1.1,bionic-updates|bionic-security|now
pciutils,unknown,1:3.5.2-1ubuntu1.1,bionic-updates|now
perl,Artistic|Artistic|or|GPL-1+|or|Artistic-dist|Artistic-2|Artistic-dist|BSD-3-clause|BSD-3-clause-GENERIC|BSD-3-clause-with-weird-numbering|BSD-4-clause-POWERDOG|BZIP|CC0-1.0|DONT-CHANGE-THE-GPL|Expat|Expat|or|GPL-1+|or|Artistic|GPL-1+|GPL-1+|or|Artistic|GPL-1+|or|Artistic|or|Artistic-dist|GPL-1+|or|Artistic,|GPL-2+|GPL-2+|or|Artistic|GPL-3+-WITH-BISON-EXCEPTION|HSIEH-BSD|HSIEH-DERIVATIVE|LGPL-2.1|REGCOMP|REGCOMP,|RRA-KEEP-THIS-NOTICE|S2P|SDBM-PUBLIC-DOMAIN|TEXT-TABS|Unicode|ZLIB,5.26.1-6ubuntu0.3,bionic-updates|bionic-security|now
perl-base,Artistic|Artistic|or|GPL-1+|or|Artistic-dist|Artistic-2|Artistic-dist|BSD-3-clause|BSD-3-clause-GENERIC|BSD-3-clause-with-weird-numbering|BSD-4-clause-POWERDOG|BZIP|CC0-1.0|DONT-CHANGE-THE-GPL|Expat|Expat|or|GPL-1+|or|Artistic|GPL-1+|GPL-1+|or|Artistic|GPL-1+|or|Artistic|or|Artistic-dist|GPL-1+|or|Artistic,|GPL-2+|GPL-2+|or|Artistic|GPL-3+-WITH-BISON-EXCEPTION|HSIEH-BSD|HSIEH-DERIVATIVE|LGPL-2.1|REGCOMP|REGCOMP,|RRA-KEEP-THIS-NOTICE|S2P|SDBM-PUBLIC-DOMAIN|TEXT-TABS|Unicode|ZLIB,5.26.1-6ubuntu0.3,bionic-updates|bionic-security|now
perl-modules-5.26,Artistic|Artistic|or|GPL-1+|or|Artistic-dist|Artistic-2|Artistic-dist|BSD-3-clause|BSD-3-clause-GENERIC|BSD-3-clause-with-weird-numbering|BSD-4-clause-POWERDOG|BZIP|CC0-1.0|DONT-CHANGE-THE-GPL|Expat|Expat|or|GPL-1+|or|Artistic|GPL-1+|GPL-1+|or|Artistic|GPL-1+|or|Artistic|or|Artistic-dist|GPL-1+|or|Artistic,|GPL-2+|GPL-2+|or|Artistic|GPL-3+-WITH-BISON-EXCEPTION|HSIEH-BSD|HSIEH-DERIVATIVE|LGPL-2.1|REGCOMP|REGCOMP,|RRA-KEEP-THIS-NOTICE|S2P|SDBM-PUBLIC-DOMAIN|TEXT-TABS|Unicode|ZLIB,5.26.1-6ubuntu0.3,bionic-updates|bionic-security|now
perl-openssl-defaults:amd64,Artistic|Artistic|or|GPL-1+|GPL-1+,3build1,NULL
pinentry-curses,GPL-2|GPL-2+|LGPL-3+|LGPL-3+|or|GPL-2+|X11,1.1.0-1,bionic|now
plymouth,GPL-2+|other,0.9.3-1ubuntu7.18.04.2,bionic-updates|now
plymouth-theme-ubuntu-text,GPL-2+|other,0.9.3-1ubuntu7.18.04.2,bionic-updates|now
policykit-1,Apache-2.0|LGPL-2.0+,0.105-20ubuntu0.18.04.5,bionic-updates|bionic-security|now
pollinate,GPL-3,4.33-0ubuntu1~18.04.1,bionic-updates|now
popularity-contest,GPL,1.66ubuntu1,bionic|now
